sentence1,relation,relationscore,structure,structurescore
A passenger train waiting at the city train station.,The city train station waiting for a passenger train.,2,The city train station has a passenger train waiting.,5
A black train moves down the tracks.,The tracks move down a black train.,1,"Down the tracks, moves a black train.",5
A Philips flat-screen TV is shown with its two remote controls.,Two remote controls are shown with a Philips flat-screen TV.,3,"Shown with its two remote controls, is a Philips flat-screen TV.",5
A cruise ship is in front of a docking area.,A docking area is in front of a cruise ship.,1,"In front of a docking area, is a cruise ship.",5
A black and white cow standing in hay looks back at the camera.,The camera looks back at a black and white cow standing in hay.,4,"Looking back at the camera, stands a black and white cow in hay.",4
Four people rowing down a river.,A river rowing down four people.,1,"Down a river, four people are rowing.",5
A dark brown horse standing in a field.,A field standing in a dark brown horse.,1,"In a field, a dark brown horse is standing.",5
Two men talking in front of a plane.,"In front of a plane, two men are talking.",4,"In front of a plane, two men are talking.",5
"two cats, one brown and one white laying on a bed with a blue blanket.","Two cats, one white and one brown laying on a bed with a blue blanket.",4,"Laying on a bed with a blue blanket, two cats, one brown and one white.",5
The train sits at the train station.,The train station sits at the train.,0,"At the train station, sits the train.",4
Two animals sitting on a rock.,A rock sitting on two animals.,1,"On a rock, two animals sitting.",5
A black and white cow looking through the fence.,"A cow looking through the fence, black and white.",3,"Looking through the fence, a black and white cow.",4
Two women in a clothing store.,A clothing store in two women.,1,"In a clothing store, two women.",4
Older gentleman looking at red motorcycle.,Red motorcycle looking at older gentleman.,0,"At a red motorcycle, looking, older gentleman.",1
Black and white cows grazing in a pen.,"Black cows grazing in a pen, and white.",2,"In a pen, grazing, black and white cows.",3
A small camouflaged airplane parked in the grass.,"A camouflaged airplane, small, parked in the grass.",4,"Parked in the grass, a small camouflaged airplane.",4
A black and white photo of a love seat.,"A photo of a love seat, black and white.",4,"Of a love seat, a black and white photo.",4
Black bird standing on concrete.,Concrete standing on black bird.,0,"Standing on concrete, black bird.",4
Crowd of people walking past a giant mushroom.,A giant mushroom walking past a crowd of people.,1,"Past a giant mushroom, a crowd of people walking.",3
A sheep beside a road and a lake.,"Beside a road and a lake, a sheep.",4,"Beside a road and a lake, a sheep.",5
A group of people sit at a table in an Italian restaurant.,"At a table in an Italian restaurant, a group of people sit.",4,"At a table in an Italian restaurant, a group of people sit.",5
Tan cows look closely at the camera.,"Closely at the camera, tan cows look.",3,"Closely at the camera, tan cows look.",5
Older woman holding newborn baby.,A newborn baby holding an older woman.,2,"Holding newborn baby, an older woman.",3
Two dogs play in the grass.,"In the grass, two dogs are played.",3,"In the grass, two dogs play.",5
Three people sit at a picnic table outside of a building painted like a union jack.,A union jack painted building sits outside of a picnic table where three people are sitting.,5,"Outside of a building painted like a union jack, at a picnic table, three people sit.",5
A dog swims through the water.,The water swims through a dog.,1,"Through the water, a dog swims.",5
A young laughing girl and a boy are playing on a big drum.,A big drum is being played by a young laughing girl and a boy.,5,"On a big drum, a young laughing girl and a boy are playing.",5
The brown dog runs on the snow with a white ball in his mouth.,A white ball in his mouth runs on the snow with a brown dog.,2,"On the snow, with a white ball in his mouth, the brown dog runs.",4
A bird flies across the water.,The water flies across a bird.,2,"Across the water, a bird flies.",5
A dog is running through a pond,A pond is running through a dog.,0,"Through a pond, a dog is running.",5
A man and a woman watch two dogs.,Two dogs watch a man and a woman.,5,"Two dogs, a man and a woman watch.",4
A man sits by a dock looking at the water.,The water looks at a man sitting by a dock.,2,"By a dock, looking at the water, a man sits.",5
A brown and white dog is running through the snow.,The snow is running through a brown and white dog.,1,"Through the snow, a brown and white dog is running.",4
A man and a woman are standing in front of a building,A building is standing in front of a man and a woman.,4,"In front of a building, a man and a woman are standing.",5
Three dolphins are jumping out of a pool in front of a crowd of people.,A crowd of people is jumping out of a pool in front of three dolphins.,2,"In front of a crowd of people, three dolphins are jumping out of a pool.",5
The dog is running through a field.,A field is running through the dog.,1,"Through a field, the dog is running.",5
A black and white dog is jumping into the water.,The water is jumping into a black and white dog.,2,"Into the water, a black and white dog is jumping.",4
A tan and white dog retrieving a ball on a gravel path.,A gravel path is retrieving a ball on a tan and white dog.,1,"On a gravel path, a tan and white dog is retrieving a ball.",5
A brown and white dog is walking up snowy steps.,Snowy steps are walking up a brown and white dog.,1,Walking up snowy steps is a brown and white dog.,2
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,A brown and black dog fetches a stick for a woman in a black and orange jacket to throw.,5,"In a black and orange jacket, a woman throws a stick for a brown and black dog to fetch.",5
A dog running across the snow with a snowball in it's mouth.,"A snowball in its mouth, the snow runs across the dog.",3,"A snowball in its mouth, a dog is running across the snow.",5
A small boy is building with some wooden blocks.,Some wooden blocks are being built by a small boy.,4,Building with some wooden blocks is a small boy.,3
A man and a woman walk with a white dog on a leash.,A white dog on a leash is walked by a man and a woman.,5,"On a leash, a white dog is walked by a man and a woman.",5
A young boy wearing a red winter coat is eating and holding up a candy bar.,A candy bar is being eaten and held up by a young boy wearing a red winter coat.,5,"Wearing a red winter coat, a young boy is eating and holding up a candy bar.",5
Two racing dogs run in the mud.,"In the mud, two racing dogs are running.",5,"In the mud, two racing dogs run.",5
"A young boy jumping into a pool that says ""no diving"".","""No diving"" is jumped into by a young boy into a pool.",4,"Into a pool that says ""no diving"", a young boy is jumping.",4
Three dogs running in the dirt.,"In the dirt, three dogs are running.",5,"In the dirt, three dogs are running.",4
Four children on stools in a diner.,"In a diner, four stools are occupied by children.",5,"In a diner, four children are on stools.",5
Boy and white dog running in grassy field,The grassy field is running with a boy and white dog.,4,"Running in a grassy field, boy and white dog.",5
Two boys playing a game of flag football.,A game of flag football is playing two boys.,4,"Playing a game of flag football, two boys.",5
The black and white dog has its mouth wide open.,The wide-open mouth belongs to the black and white dog.,5,"With its mouth wide open, the black and white dog.",5
One white boy and one black boy stand with arms around each other.,Arms around each other stand one white boy and one black boy.,5,"With arms around each other, one white boy and one black boy stand.",5
Girl playing in a puddle with her bare feet.,Bare feet are playing in a puddle with a girl.,4,"With her bare feet, girl playing in a puddle.",4
Two children splashing in the water.,Water is being splashed by two children.,4,"In the water, two children splashing.",5
A man in a suit dances with a young girl in front of an audience.,A young girl in front of an audience dances with a man in a suit.,5,"In front of an audience, a man in a suit dances with a young girl.",4
Three children playing on a floor with toys.,Toys are being played with by three children on a floor.,4,"On a floor with toys, three children playing.",5
The two dogs are playing in the yard.,The yard is being played in by two dogs.,4,"In the yard, the two dogs are playing.",5
The # 2 greyhound dog is running around a track.,Running around a track is the #2 greyhound dog.,5,"Around a track, the #2 greyhound dog is running.",5
four children are playing on a trampoline.,The trampoline is playing with four children.,2,"On a trampoline, four children are playing.",5
A black and tan dog standing in a field near trees,The trees near a field are standing next to a black and tan dog.,5,"Near trees in a field, a black and tan dog is standing.",4
A black dog running into the water.,The water is running into a black dog.,2,"Into the water, a black dog is running.",5
a man and woman walking past a record shop,A record shop is walking past a man and woman.,1,"Past a record shop, a man and woman are walking.",5
Three children wrestle on a floral carpet.,A floral carpet wrestles with three children.,4,"On a floral carpet, three children wrestle.",5
A boy in red jumping into a sandbox.,A sandbox jumps into a boy in red.,1,"Into a sandbox, a boy in red is jumping.",5
a dog jumps into the water.,The water jumps into a dog.,1,"Into the water, a dog jumps.",5
"A wet, blond dog carries a stick on the shore.","The shore carries a stick on a wet, blond dog.",2,"On the shore, a wet, blond dog is carrying a stick.",5
A man and a dog on rocks on a beach.,Rocks on a beach are with a man and a dog.,5,"On rocks on a beach, a man and a dog are.",5
Large group of people standing outside of a building.,A building is standing outside of a large group of people.,2,"Outside of a building, a large group of people is standing.",4
